server_time,device_type,session_id,user_id,item_id
2018-10-15 08:58:00,android,112333,4557,32970
2018-10-15 08:58:00,android,503590,74788,7640
2018-10-15 08:58:00,android,573960,23628,128855
2018-10-15 08:58:00,android,121691,2430,12774
2018-10-15 08:58:00,android,218564,19227,28296
2018-10-15 08:58:00,android,635314,87387,86660
2018-10-15 08:58:00,android,482459,348,35370
2018-10-15 08:58:00,android,218564,19227,100065
2018-10-15 08:58:00,android,947548,30183,86558
2018-10-15 08:58:00,android,941129,31754,127900
2018-10-15 08:58:00,android,58445,76152,95823
2018-10-15 08:58:00,android,264366,34712,11871
2018-10-15 08:58:00,android,585539,39617,22859
2018-10-15 08:58:00,android,876311,35913,15434
2018-10-15 08:59:00,android,845216,16793,2715
2018-10-15 08:59:00,android,845216,16793,2715
2018-10-15 08:59:00,android,1075632,5859,17418
2018-10-15 08:59:00,android,104628,66973,99981
2018-10-15 08:59:00,android,573960,23628,33633
2018-10-15 08:59:00,android,843031,34503,18299
2018-10-15 08:59:00,android,503590,74788,129764
2018-10-15 08:59:00,android,600876,59049,51049
2018-10-15 08:59:00,android,712208,27170,126076
2018-10-15 08:59:00,android,230591,81687,98681
2018-10-15 08:59:00,android,260261,90761,132849
2018-10-15 08:59:00,android,1068088,90962,6641
2018-10-15 08:59:00,android,712208,27170,52488
2018-10-15 08:59:00,android,19064,40741,4086
2018-10-15 08:59:00,android,634927,24208,61679
2018-10-15 08:59:00,android,1005272,44420,126451
2018-10-15 08:59:00,android,712208,27170,112325
2018-10-15 08:59:00,android,627337,7766,92818
2018-10-15 08:59:00,android,260261,90761,69207
2018-10-15 08:59:00,android,218564,19227,19154
2018-10-15 08:59:00,android,58445,76152,95823
2018-10-15 08:59:00,android,218564,19227,12317
2018-10-15 08:59:00,android,993511,58963,91532
2018-10-15 08:59:00,android,1046130,17188,58320
2018-10-15 08:59:00,android,316001,90890,106152
2018-10-15 08:59:00,android,697035,6278,94386
2018-10-15 08:59:00,android,697157,76951,115384
2018-10-15 08:59:00,android,112333,4557,132775
2018-10-15 08:59:00,android,218564,19227,118364
2018-10-15 08:59:00,android,112333,4557,100092
2018-10-15 08:59:00,android,861741,31596,59086
2018-10-15 08:59:00,android,638275,25079,31638
2018-10-15 08:59:00,android,993511,58963,91532
2018-10-15 09:00:00,android,476655,83285,32155
2018-10-15 09:00:00,android,18195,14461,102960
2018-10-15 09:00:00,android,668518,33808,36823
2018-10-15 09:00:00,android,590729,53298,112966
2018-10-15 09:00:00,android,712373,82030,22011
2018-10-15 09:00:00,android,947548,30183,91656
2018-10-15 09:00:00,android,356375,55993,1907
2018-10-15 09:00:00,android,180899,4975,10379
2018-10-15 09:00:00,android,924466,66164,127900
2018-10-15 09:00:00,android,625057,30588,22047
2018-10-15 09:00:00,android,924466,66164,61874
2018-10-15 09:00:00,android,622620,90758,54546
2018-10-15 09:00:00,android,635314,87387,53044
2018-10-15 09:00:00,android,600876,59049,51049
2018-10-15 09:00:00,android,1079134,52460,76224
2018-10-15 09:00:00,android,218564,19227,42016
2018-10-15 09:00:00,android,236928,65100,425
2018-10-15 09:00:00,android,316001,90890,127728
2018-10-15 09:00:00,android,260261,90761,120162
2018-10-15 09:00:00,android,9643,2014,76907
2018-10-15 09:00:00,android,694842,83048,121496
2018-10-15 09:00:00,android,697035,6278,55495
2018-10-15 09:00:00,android,221458,87344,45690
2018-10-15 09:00:00,android,588885,64010,31638
2018-10-15 09:00:00,android,1079134,52460,89734
2018-10-15 09:00:00,android,481083,13926,127900
2018-10-15 09:00:00,android,228241,49350,107251
2018-10-15 09:00:00,android,712208,27170,40452
2018-10-15 09:00:00,android,1068088,90962,78242
2018-10-15 09:00:00,android,622338,22513,425
2018-10-15 09:00:00,android,712208,27170,73984
2018-10-15 09:00:00,android,451315,30261,124004
2018-10-15 09:00:00,android,482459,348,18976
2018-10-15 09:00:00,android,414775,5079,109619
2018-10-15 09:01:00,android,595711,29473,33074
2018-10-15 09:01:00,android,356375,55993,15757
2018-10-15 09:01:00,android,1075632,5859,45613
2018-10-15 09:01:00,android,40197,3146,97323
2018-10-15 09:01:00,android,9643,2014,97945
2018-10-15 09:01:00,android,363402,31277,23356
2018-10-15 09:01:00,android,779927,91153,31638
2018-10-15 09:01:00,android,622620,90758,126451
2018-10-15 09:01:00,android,112333,4557,115470
2018-10-15 09:01:00,android,1068088,90962,60371
2018-10-15 09:01:00,android,548774,68868,55495
2018-10-15 09:01:00,android,712208,27170,68917
2018-10-15 09:01:00,android,528940,68744,45432
2018-10-15 09:01:00,android,697035,6278,27136
2018-10-15 09:01:00,android,717704,42822,17197
2018-10-15 09:01:00,android,861741,31596,14946
2018-10-15 09:01:00,android,833239,81744,24256
2018-10-15 09:01:00,android,1068088,90962,78242
2018-10-15 09:01:00,android,627337,7766,46208
2018-10-15 09:01:00,android,861741,31596,14946
2018-10-15 09:01:00,android,590729,53298,112966
2018-10-15 09:02:00,android,509533,19447,55495
2018-10-15 09:02:00,android,1079134,52460,115366
2018-10-15 09:02:00,android,1068088,90962,18603
2018-10-15 09:02:00,android,1068088,90962,6641
2018-10-15 09:02:00,android,697157,76951,47901
2018-10-15 09:02:00,android,848593,11356,49603
2018-10-15 09:02:00,android,260261,90761,120162
2018-10-15 09:02:00,android,782477,14797,86611
2018-10-15 09:02:00,android,775677,9455,35370
2018-10-15 09:02:00,android,833706,20936,19596
2018-10-15 09:02:00,android,993814,12051,60390
2018-10-15 09:02:00,android,180899,4975,81504
2018-10-15 09:02:00,android,228241,49350,58911
2018-10-15 09:02:00,android,534690,69296,58082
2018-10-15 09:02:00,android,712373,82030,116073
2018-10-15 09:02:00,android,585270,82045,61871
2018-10-15 09:02:00,android,485488,26475,54212
2018-10-15 09:02:00,android,184334,86627,57810
2018-10-15 09:02:00,android,488259,25061,69317
2018-10-15 09:02:00,android,606122,959,51563
2018-10-15 09:02:00,android,1068088,90962,33802
2018-10-15 09:02:00,android,1013431,41277,51528
2018-10-15 09:02:00,android,993814,12051,60390
2018-10-15 09:02:00,android,228241,49350,58911
2018-10-15 09:02:00,android,694842,83048,91106
2018-10-15 09:02:00,android,591661,36004,66263
2018-10-15 09:02:00,android,52354,75898,69123
2018-10-15 09:02:00,android,712208,27170,78289
2018-10-15 09:02:00,android,595794,54957,48887
2018-10-15 09:02:00,android,694842,83048,42474
2018-10-15 09:02:00,android,697035,6278,22064
2018-10-15 09:02:00,android,25239,46046,79277
2018-10-15 09:03:00,android,25239,46046,26737
2018-10-15 09:03:00,android,712208,27170,73984
2018-10-15 09:03:00,android,697157,76951,56897
2018-10-15 09:03:00,android,135421,50931,99617
2018-10-15 09:03:00,android,112333,4557,35370
2018-10-15 09:03:00,android,178615,59669,41955
2018-10-15 09:03:00,android,264366,34712,11871
2018-10-15 09:03:00,android,1013431,41277,20623
2018-10-15 09:03:00,android,476655,83285,28621
2018-10-15 09:03:00,android,595794,54957,48887
2018-10-15 09:03:00,android,363402,31277,83653
2018-10-15 09:03:00,android,720676,92404,31638
2018-10-15 09:03:00,android,1068088,90962,78242
